City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Sept-Iles,CA,10.92,few clouds,50.2001,-66.3821,Comfort Inn
6,Bakaly,RU,13.89,broken clouds,55.1789,53.8028,Darina
13,Kosa,RU,17.4,few clouds,59.9445,54.9977,Gostinitsa V Kose
22,Ushuaia,AR,38.86,moderate rain,-54.8,-68.3,Albatross Hotel
27,Zemen,BG,36.18,overcast clouds,42.4789,22.7492,Комплекс АЕЛЕА
39,Ushtobe,KZ,37.26,moderate rain,45.2514,77.9838,Filipin Squad
42,Nikolskoye,RU,34.79,scattered clouds,59.7035,30.7861,Tourist House - Sablino
55,Bonavista,CA,25.57,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
60,Paamiut,GL,7.14,light snow,61.994,-49.6678,Pistut
78,Astana,KZ,15.75,overcast clouds,51.1801,71.446,King Hotel Astana
80,Gornyy,RU,13.19,clear sky,55.1153,83.9059,Gostinyy Dvor
86,Powassan,CA,16.66,overcast clouds,46.0334,-79.3496,Munro Park Campgrounds
89,Mehamn,NO,39.15,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
90,Parabel,RU,8.74,scattered clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
91,Kenai,US,20.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
104,Tasiilaq,GL,30.36,snow,65.6145,-37.6368,The Red House
106,Nanortalik,GL,6.8,light snow,60.1432,-45.2371,Hotel Kap Farvel
113,Smithers,CA,39.52,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
129,Tucumcari,US,35.44,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
136,Iskateley,RU,12.81,broken clouds,67.6803,53.1512,Hostel Agat
144,Hammerfest,NO,39.65,clear sky,70.6634,23.6821,Skytterhuset
154,Severo-Kurilsk,RU,29.05,overcast clouds,50.6789,156.125,Kak Doma
155,Saint Anthony,US,31.14,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
156,Solnechnyy,RU,24.73,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
158,Mut,TR,35.35,clear sky,36.6439,33.4389,Konak Otel
