City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Oistins,13.0667,-59.5333,77.09,73,40,20.71,BB,scattered clouds,2022-03-15 07:23:26
1,Laguna,38.421,-121.4238,61.09,64,40,8.05,US,scattered clouds,2022-03-15 07:18:34
2,Ginir,7.1333,40.7,72.03,34,0,8.46,ET,clear sky,2022-03-15 07:23:27
3,Jumla,29.2747,82.1838,71.02,23,0,6.73,NP,clear sky,2022-03-15 07:23:27
4,Sept-Iles,50.2001,-66.3821,10.92,92,20,6.91,CA,few clouds,2022-03-15 07:21:56
5,Hobart,-42.8794,147.3294,67.86,87,75,11.5,AU,broken clouds,2022-03-15 07:23:28
6,Bakaly,55.1789,53.8028,13.89,88,82,7.76,RU,broken clouds,2022-03-15 07:23:28
7,Thaba-Tseka,-29.522,28.6084,54.3,74,42,3.15,LS,scattered clouds,2022-03-15 07:20:21
8,Barrow,71.2906,-156.7887,-0.38,71,100,10.36,US,overcast clouds,2022-03-15 07:23:29
9,Leningradskiy,69.3833,178.4167,-17.09,97,35,3.22,RU,scattered clouds,2022-03-15 07:23:29
10,Pafos,34.7667,32.4167,53.38,32,20,9.22,CY,few clouds,2022-03-15 07:23:30
11,Hermanus,-34.4187,19.2345,64.8,70,2,10.22,ZA,clear sky,2022-03-15 07:23:30
12,Saint-Francois,46.4154,3.9054,54.84,62,0,17.27,FR,clear sky,2022-03-15 07:23:31
13,Kosa,59.9445,54.9977,17.4,81,16,4.47,RU,few clouds,2022-03-15 07:23:31
14,Hilo,19.7297,-155.09,70.11,85,0,1.01,US,clear sky,2022-03-15 07:21:04
15,Sawakin,19.1059,37.3321,74.44,56,56,17.98,SD,broken clouds,2022-03-15 07:23:32
16,Saquena,-4.6667,-73.5167,71.26,98,100,1.81,PE,overcast clouds,2022-03-15 07:23:32
17,Pevek,69.7008,170.3133,-19.48,99,14,3.6,RU,few clouds,2022-03-15 07:21:56
18,Rikitea,-23.1203,-134.9692,79.25,76,57,13.89,PF,broken clouds,2022-03-15 07:23:33
19,Ancud,-41.8697,-73.8203,59.23,94,6,3.71,CL,clear sky,2022-03-15 07:23:33
20,Geraldton,-28.7667,114.6,81.01,57,100,17.27,AU,overcast clouds,2022-03-15 07:23:33
21,Cherskiy,68.75,161.3,-12.89,99,23,3.0,RU,few clouds,2022-03-15 07:23:34
22,Ushuaia,-54.8,-68.3,38.86,93,100,5.75,AR,moderate rain,2022-03-15 07:23:04
23,Saskylakh,71.9167,114.0833,-6.57,98,88,2.71,RU,overcast clouds,2022-03-15 07:23:35
24,Avarua,-21.2078,-159.775,78.85,89,100,2.3,CK,overcast clouds,2022-03-15 07:23:35
25,Dikson,73.5069,80.5464,6.53,94,100,13.8,RU,overcast clouds,2022-03-15 07:23:35
26,Helong,42.5397,128.9972,41.65,59,100,0.72,CN,overcast clouds,2022-03-15 07:23:36
27,Zemen,42.4789,22.7492,36.18,52,100,1.92,BG,overcast clouds,2022-03-15 07:23:36
28,Lompoc,34.6391,-120.4579,53.49,86,100,24.0,US,overcast clouds,2022-03-15 07:20:48
29,Bara,10.3744,10.7288,80.17,18,40,11.3,NG,scattered clouds,2022-03-15 07:23:37
30,Vaini,-21.2,-175.2,78.96,94,75,3.44,TO,thunderstorm,2022-03-15 07:23:37
31,New Norfolk,-42.7826,147.0587,67.5,75,100,4.0,AU,overcast clouds,2022-03-15 07:23:37
32,Raga,8.4596,25.678,79.77,13,88,11.12,SS,overcast clouds,2022-03-15 07:23:38
33,Provideniya,64.3833,-173.3,-0.58,88,4,5.91,RU,clear sky,2022-03-15 07:23:38
34,Kapaa,22.0752,-159.319,73.72,77,40,10.36,US,scattered clouds,2022-03-15 07:23:39
35,Viedma,-40.8135,-62.9967,60.51,53,61,8.79,AR,broken clouds,2022-03-15 07:23:39
36,Chuy,-33.6971,-53.4616,59.63,88,0,6.02,UY,clear sky,2022-03-15 07:23:40
