City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Fortuna,US,2022-03-13 03:23:42,40.5982,-124.1573,53.94,84,100,16.11
1,Puerto Ayora,EC,2022-03-13 03:20:44,-0.7393,-90.3518,75.54,100,16,3.0
2,Avarua,CK,2022-03-13 03:23:43,-21.2078,-159.775,84.25,74,20,4.61
3,Otorohanga,NZ,2022-03-13 03:23:43,-38.1833,175.2,76.17,43,100,4.14
4,Takoradi,GH,2022-03-13 03:23:44,4.8845,-1.7554,79.47,85,100,5.23
5,Provideniya,RU,2022-03-13 03:23:44,64.3833,-173.3,18.07,62,0,11.72
6,Hobart,AU,2022-03-13 03:21:57,-42.8794,147.3294,79.23,45,20,13.8
7,Kaeo,NZ,2022-03-13 03:23:44,-35.1,173.7833,76.32,71,68,11.74
8,Ribeira Grande,PT,2022-03-13 03:23:45,38.5167,-28.7,58.03,61,18,13.96
9,Upernavik,GL,2022-03-13 03:23:45,72.7868,-56.1549,-17.34,100,100,6.62
10,Pitimbu,BR,2022-03-13 03:23:46,-7.4706,-34.8086,79.39,78,88,8.16
11,Mataura,NZ,2022-03-13 03:23:46,-46.1927,168.8643,64.47,39,1,2.39
12,Yichang,CN,2022-03-13 03:20:15,30.7144,111.2847,78.08,57,96,3.47
13,Te Anau,NZ,2022-03-13 03:23:47,-45.4167,167.7167,66.27,48,0,3.13
14,Turukhansk,RU,2022-03-13 03:23:47,65.8167,87.9833,-11.2,95,92,5.28
15,Chokurdakh,RU,2022-03-13 03:23:47,70.6333,147.9167,-7.51,91,100,4.47
16,Bluff,NZ,2022-03-13 03:23:48,-46.6,168.3333,64.8,68,0,6.49
17,Puerto Escondido,MX,2022-03-13 03:23:48,15.85,-97.0667,77.83,78,0,8.05
18,Rikitea,PF,2022-03-13 03:23:12,-23.1203,-134.9692,80.06,71,62,12.55
19,Ushuaia,AR,2022-03-13 03:23:49,-54.8,-68.3,47.86,61,75,12.66
20,Ginir,ET,2022-03-13 03:23:49,7.1333,40.7,58.37,43,100,3.42
21,Ostrovnoy,RU,2022-03-13 03:23:49,68.0531,39.5131,29.46,90,100,17.4
22,Kursumlija,RS,2022-03-13 03:23:50,43.1458,21.2686,18.91,75,6,3.53
23,Luderitz,NA,2022-03-13 03:23:50,-26.6481,15.1594,63.59,94,25,11.07
24,Ilulissat,GL,2022-03-13 03:23:51,69.2167,-51.1,6.82,72,75,14.97
25,Sabha,LY,2022-03-13 03:23:51,27.0377,14.4283,50.41,27,1,8.12
26,Ponta Do Sol,PT,2022-03-13 03:23:51,32.6667,-17.1,64.71,76,100,8.37
27,Emerald,AU,2022-03-13 03:23:52,-23.5333,148.1667,87.35,40,6,16.37
